iso,longitude,latitude,adm1,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
BRA,-44.555031,-18.512178,7,2011,134.3072465,47675.28255
BRA,-43.021549,-21.17524,8,2011,15621.50977,13190241.51
BRA,-37.713501,-6.54219,9,2011,41499.34504,16532281.65
BRA,-70.30146,-9.12893,10,2011,139132.3072,57904746.67
BRA,-87.568069,33.208496,1,2012,62675.63578,48311461.06
BRA,-37.713501,-6.54219,2,2012,5841.909315,2305288.018
BRA,-45.274418,-4.96095,3,2012,20234.43752,14347270.89
BRA,-63.293072,-10.83077,4,2012,163604.2673,112374651.1
BRA,-78.791252,-3.3617,5,2012,274998.83,109274023.7
BRA,-44.555031,-18.512178,7,2012,103.0121184,82261.9587
BRA,-43.021549,-21.17524,8,2012,22705.35979,17269709.03
BRA,-37.713501,-6.54219,9,2012,57117.70434,22365598.9
BRA,-70.30146,-9.12893,10,2012,258349.9309,105882058.5
BRA,-87.568069,33.208496,1,2013,49483.35192,37860401.95
BRA,-37.713501,-6.54219,2,2013,1896.491198,754789.8732
BRA,-45.274418,-4.96095,3,2013,14463.10549,9593313.818
BRA,-63.293072,-10.83077,4,2013,126022.0434,86284930.06
BRA,-78.791252,-3.3617,5,2013,153800.5024,74353749.5
BRA,-44.555031,-18.512178,7,2013,19.94031178,59902.58239
BRA,-43.021549,-21.17524,8,2013,11060.20639,11913187.68
BRA,-37.713501,-6.54219,9,2013,36045.50042,17077953.54
BRA,-70.30146,-9.12893,10,2013,278220.9229,117708697.7
BRA,-87.568069,33.208496,1,2014,63441.88948,48527182.16
BRA,-37.713501,-6.54219,2,2014,1976.599638,740132.4185
BRA,-45.274418,-4.96095,3,2014,16042.80596,10777854.25
BRA,-63.293072,-10.83077,4,2014,146342.9861,101287737.1
BRA,-78.791252,-3.3617,5,2014,186843.6991,95794860.72
BRA,-44.555031,-18.512178,7,2014,126.9396931,177422.8433
BRA,-43.021549,-21.17524,8,2014,29282.83208,25496218.34
BRA,-37.713501,-6.54219,9,2014,51007.81372,24991996.81
BRA,-70.30146,-9.12893,10,2014,351383.8333,151432145
BRA,-87.568069,33.208496,1,2015,49732.54926,37651198.87
BRA,-37.713501,-6.54219,2,2015,399.0951437,148679.6288
BRA,-45.274418,-4.96095,3,2015,14201.15423,9335705.895
BRA,-63.293072,-10.83077,4,2015,156875.8643,111020752.8
BRA,-78.791252,-3.3617,5,2015,167989.914,89064358.76
BRA,-44.555031,-18.512178,7,2015,172.496874,146591.2477
BRA,-43.021549,-21.17524,8,2015,17543.6697,20744883.09
BRA,-37.713501,-6.54219,9,2015,44806.38795,24080093.33
BRA,-70.30146,-9.12893,10,2015,281048.7092,126046893.3
BRA,-87.568069,33.208496,1,2016,86612.94311,64685509.81
BRA,-37.713501,-6.54219,2,2016,893.6255793,353373.9376
BRA,-45.274418,-4.96095,3,2016,38424.90357,25965792.95
BRA,-63.293072,-10.83077,4,2016,547520.4818,355645073.2
BRA,-78.791252,-3.3617,5,2016,292820.9015,138965179
BRA,-44.555031,-18.512178,7,2016,287.1301506,201028.2465
BRA,-43.021549,-21.17524,8,2016,26885.96531,24372788.19
BRA,-37.713501,-6.54219,9,2016,49045.29959,27852341.25
BRA,-70.30146,-9.12893,10,2016,799627.6594,380778192.9
BRA,-87.568069,33.208496,1,2017,86123.52431,65128188.3
